"SYMBOL","HIGH","LOW","CLOSE","VOLUME","% CHANGE"
"TATASTEEL","1186.75","1168.8","1183.8","1132848",
"JSWSTEEL","729.45","721.55","728.4","658126",
"COALINDIA","159.45","158.25","158.5","2086377",
"DRREDDY","5436.9","5412.0","5432.05","35364",
"HINDALCO","394.65","390.25","394.5","689199",
"POWERGRID","250.1","249.05","249.6","555929",
"TCS","3297.0","3285.6","3286.3","87258",
"RELIANCE","2255.75","2243.65","2249.9","453647",
"INFY","1474.0","1467.15","1471.5","440440",
"TATAMOTORS","356.0","354.1","355.0","1678747",
"HCLTECH","993.0","989.35","990.5","195450",
"EICHERMOT","2761.25","2750.0","2751.3","17322",
"TATACONSUM","724.0","720.1","722.5","196888",
"TECHM","1092.95","1081.05","1086.1","413656",
"SUNPHARMA","679.45","677.0","677.65","167502",
"BAJFINANCE","6218.75","6180.0","6206.7","123826",
"HDFCBANK","1492.8","1488.8","1492.3","409409",
"M&M","811.1","808.55","809.9","59072",
"MARUTI","7214.05","7176.2","7192.95","19548",
"ASIANPAINT","3018.0","2986.15","3017.0","248225",
"WIPRO","563.4","561.35","562.25","269693",
"BPCL","486.0","483.55","485.8","182673",
"NTPC","118.7","118.15","118.15","496946",
"HDFC","2554.9","2544.05","2549.55","103245",
"GRASIM","1491.95","1488.0","1491.0","25103",
"NESTLEIND","17621.35","17564.35","17614.8","1406",
"HEROMOTOCO","3001.65","2979.0","2982.45","26867",
"BAJAJ-AUTO","4171.8","4141.0","4147.0","19358",
"ONGC","125.6","124.9","125.35","959900",
"KOTAKBANK","1784.15","1776.6","1779.55","72859",
"HINDUNILVR","2375.0","2372.0","2374.0","30531",
"TITAN","1742.6","1733.95","1735.5","56206",
"UPL","844.85","839.75","844.1","300202",
"SHREECEM","28449.95","28375.05","28422.9","1742",
"IOC","115.45","114.95","115.25","1053696",
"ADANIPORTS","776.0","758.65","761.4","4462583",
"ITC","208.1","207.35","207.6","847342",
"BRITANNIA","3614.85","3604.25","3608.9","17996",
"ICICIBANK","642.5","640.0","640.8","826791",
"SBIN","432.25","430.0","431.3","1277785",
"BHARTIARTL","541.85","539.05","539.9","367253",
"CIPLA","974.0","970.1","972.45","122849",
"ULTRACEMCO","6703.15","6678.0","6679.25","9554",
"SBILIFE","989.0","984.0","988.6","33163",
"HDFCLIFE","687.8","685.0","686.25","216638",
"BAJAJFINSV","12070.9","12002.0","12023.0","18869",
"LT","1521.55","1512.2","1520.2","98299",
"INDUSINDBK","1044.1","1038.3","1042.55","436741",
"DIVISLAB","4383.35","4357.9","4360.0","36126",
"AXISBANK","742.6","739.5","742.45","499692",
